arber_LUFTTEMPERATUR,arber_NIEDERSCHLAGSHOEHE,arber_DAMPFDRUCK,arber_NIEDERSCHLAGSHOEHE_IND,arber_SCHNEEHOEHE,schorndorf_LUFTTEMPERATUR,schorndorf_NIEDERSCHLAGSHOEHE,schorndorf_DAMPFDRUCK,schorndorf_NIEDERSCHLAGSHOEHE_IND,schorndorf_SCHNEEHOEHE,straubing_LUFTTEMPERATUR,straubing_NIEDERSCHLAGSHOEHE,straubing_DAMPFDRUCK,straubing_NIEDERSCHLAGSHOEHE_IND,straubing_SCHNEEHOEHE
-0.4,13.3,5.8,8,0,7.6,11.2,9.1,6.0,0.0,7.6,7.9,9.3,6.0,0.0
2.0,4.6,7.0,6,6,9.0,1.6,10.7,6.0,0.0,9.0,1.6,11.0,6.0,0.0
2.0,0.2,6.9,8,0,9.2,2.3,10.1,6.0,0.0,9.8,1.2,10.7,6.0,0.0
1.5,0.2,6.7,7,0,9.1,0.0,9.2,0.0,0.0,9.2,0.0,9.1,0.0,0.0
0.3,0.5,5.7,8,0,7.0,0.0,7.9,0.0,0.0,7.8,0.0,8.6,0.0,0.0
1.3,0.2,6.5,6,0,8.0,0.0,8.6,0.0,0.0,7.6,0.0,8.9,0.0,0.0
5.4,0.0,7.0,0,0,10.6,0.0,9.7,0.0,0.0,10.2,0.0,9.1,0.0,0.0
4.7,3.7,8.3,6,0,10.6,2.0,10.4,6.0,0.0,12.0,1.1,11.1,6.0,0.0
6.0,0.6,9.1,6,0,10.7,0.1,11.3,6.0,0.0,11.6,0.0,11.9,0.0,0.0
5.7,0.0,8.6,6,0,11.8,0.0,11.7,0.0,0.0,12.6,0.0,12.2,6.0,0.0
4.4,0.8,8.3,6,0,10.6,1.4,11.6,6.0,0.0,11.6,1.4,12.1,6.0,0.0
2.0,0.0,6.9,0,0,8.8,0.1,10.1,6.0,0.0,9.1,1.4,11.0,6.0,0.0
2.3,0.3,7.0,6,0,8.6,0.0,9.8,0.0,0.0,8.7,0.2,10.0,6.0,0.0
3.4,0.0,7.5,0,0,8.8,0.0,9.6,0.0,0.0,9.8,0.1,10.1,6.0,0.0
6.1,10.0,7.6,6,0,11.4,2.0,10.1,6.0,0.0,11.9,1.6,10.2,6.0,0.0
4.2,1.9,8.2,6,0,11.8,0.7,11.7,6.0,0.0,11.6,0.1,11.2,6.0,0.0
4.9,0.1,7.7,6,0,12.0,0.0,10.8,0.0,0.0,11.5,0.4,11.0,6.0,0.0
12.1,0.0,7.4,0,0,13.8,0.0,11.8,0.0,0.0,16.3,0.0,11.9,0.0,0.0
13.7,2.0,8.4,6,0,15.9,0.4,13.0,6.0,0.0,17.4,0.0,11.8,6.0,0.0
1.6,0.5,6.7,6,0,9.1,1.3,9.7,6.0,0.0,9.9,0.3,9.8,6.0,0.0
2.1,0.0,6.6,0,0,7.0,0.0,7.8,0.0,0.0,7.7,0.0,8.0,0.0,0.0
3.6,0.0,6.3,0,0,9.7,0.0,8.8,0.0,0.0,9.2,0.0,9.2,0.0,0.0
4.4,8.4,7.0,6,0,10.3,2.4,9.9,6.0,0.0,9.8,4.1,10.3,6.0,0.0
3.2,0.8,7.5,6,0,10.0,0.3,11.0,6.0,0.0,9.6,0.3,10.8,6.0,0.0
5.2,0.0,8.6,0,0,10.7,0.0,11.6,0.0,0.0,11.7,0.0,12.1,0.0,0.0
7.2,0.0,9.6,0,0,12.6,0.0,12.5,0.0,0.0,11.9,0.0,11.8,0.0,0.0
6.4,2.4,9.5,6,0,12.0,0.2,13.3,6.0,0.0,12.1,0.0,13.6,6.0,0.0
5.4,0.5,8.9,6,0,11.4,0.0,12.4,0.0,0.0,11.0,0.0,12.7,0.0,0.0
5.8,0.0,7.9,6,0,8.8,0.0,10.3,0.0,0.0,10.4,0.0,11.1,0.0,0.0
6.2,0.0,7.4,0,0,6.8,0.0,8.9,0.0,0.0,6.9,0.0,9.7,0.0,0.0
9.1,0.0,5.5,0,0,7.4,0.0,9.1,0.0,0.0,8.4,0.0,8.8,0.0,0.0
10.1,0.0,5.8,0,0,6.5,0.0,8.7,0.0,0.0,8.3,0.0,8.4,0.0,0.0
11.1,0.0,8.0,6,0,10.8,0.9,10.8,6.0,0.0,12.2,0.7,12.1,6.0,0.0
7.0,5.2,10.1,6,0,11.7,4.2,12.7,6.0,0.0,11.8,3.8,12.8,6.0,0.0
3.2,9.7,7.8,6,0,9.0,7.5,10.9,6.0,0.0,8.6,4.4,10.9,6.0,0.0
0.6,0.2,6.3,6,0,6.6,0.1,8.8,6.0,0.0,5.6,0.0,9.1,6.0,0.0
2.2,4.3,6.9,6,0,9.0,4.5,10.2,6.0,0.0,7.8,6.6,10.1,6.0,0.0
2.8,78.9,7.1,8,0,9.4,19.9,10.4,6.0,0.0,8.9,14.0,10.6,6.0,0.0
5.0,13.9,8.4,6,0,11.3,16.1,12.0,6.0,0.0,11.6,15.8,12.7,6.0,0.0
0.4,0.0,5.9,0,0,7.2,0.0,8.0,0.0,0.0,7.0,0.0,8.4,0.0,0.0
0.8,0.0,5.3,0,0,3.2,0.0,6.5,0.0,0.0,5.2,0.0,7.1,0.0,0.0
1.5,0.0,4.3,0,0,3.3,0.0,6.7,0.0,0.0,4.3,0.0,6.8,0.0,0.0
4.9,0.0,2.1,0,0,1.6,0.0,5.6,0.0,0.0,2.7,0.0,6.3,0.0,0.0
3.8,3.0,5.4,6,0,4.3,0.3,7.5,6.0,0.0,4.0,1.6,7.8,6.0,0.0
3.6,8.9,6.7,6,0,8.2,7.0,9.6,6.0,0.0,7.4,4.8,9.9,6.0,0.0
4.7,1.7,7.9,6,0,13.0,0.1,10.2,6.0,0.0,11.7,0.0,10.8,6.0,0.0
2.4,13.5,6.8,8,0,10.0,2.0,9.1,6.0,0.0,10.4,1.1,9.1,6.0,0.0
-2.2,0.6,5.1,7,4,6.7,0.2,6.9,6.0,0.0,6.8,0.1,7.1,6.0,0.0
